stablecoin_type,stablecoin_size,market_regime,return_to_liquidity_ratio,total_return,total_risk
USDT,0.05,normal,2.7,0.04131973601649923,0.7362139137106616
USDT,0.05,stress,2.7,0.04131973601649923,1.840534784276654
USDT,0.05,extreme,2.7,0.04131973601649923,2.9448556548426463
USDT,0.1,normal,2.7,0.041319352727837946,1.041163701577393
USDT,0.1,stress,2.7,0.041319352727837946,2.602909253943482
USDT,0.1,extreme,2.7,0.041319352727837946,4.164654806309572
USDT,0.15,normal,2.7,0.041318969439176664,1.275159903785995
USDT,0.15,stress,2.7,0.041318969439176664,3.1878997594649876
USDT,0.15,extreme,2.7,0.041318969439176664,5.10063961514398
USDT,0.2,normal,2.7,0.041318586150515396,1.4724278274213232
USDT,0.2,stress,2.7,0.041318586150515396,3.681069568553308
USDT,0.2,extreme,2.7,0.07566425042407957,5.966703306692085
USDT,0.25,normal,2.7,0.041318202861854114,1.6462243570382036
USDT,0.25,stress,2.7,0.041318202861854114,4.115560892595509
USDT,0.25,extreme,2.7,0.07722589438113082,6.913367946523334
USDT,0.3,normal,2.7,0.04131781957319283,1.8033484301285252
USDT,0.3,stress,2.7,0.04131781957319283,4.508371075321313
USDT,0.3,extreme,2.7,0.07728547661499255,7.5834093619111576
USDT,0.35,normal,2.7,0.041317436284531564,1.9478389274239758
USDT,0.35,stress,2.7,0.041317436284531564,4.869597318559941
USDT,0.35,extreme,2.7,0.0756631208120766,7.893206548255978
USDT,0.4,normal,2.7,0.04131705299587028,2.082327403154786
USDT,0.4,stress,2.7,0.05943830085555925,6.053137289650538
USDT,0.4,extreme,2.7,0.07524942175928737,9.146371985304553
USDT,0.45,normal,2.7,0.041316669707209014,2.2086417411319843
USDT,0.45,stress,2.7,0.051478840727940345,5.626337924369023
USDT,0.45,extreme,2.7,0.07566236773678148,8.950054960094892
USDT,0.5,normal,2.7,0.04131628641854773,2.3281128124323556
USDT,0.5,stress,2.7,0.05287462852771396,6.449518053002907
USDT,0.5,extreme,2.67332687407678,0.07566199119912816,9.43418628586246
USDT,0.55,normal,2.7,0.04131590312988645,2.441745317217351
USDT,0.55,stress,2.7,0.07344738390676288,6.761641426827763
USDT,0.55,extreme,2.5489044783768864,0.07566161466147889,9.894658051898874
USDT,0.6,normal,2.7,0.04131551984122518,2.55031980757199
USDT,0.6,stress,2.7,0.0637789117526727,7.556022948751635
USDT,0.6,extreme,2.4403780978315255,0.07566123812382408,10.334633280945994
USDT,0.65,normal,2.7,0.0413151365525639,2.654457015593811
USDT,0.65,stress,2.7,0.05377398082841774,6.495833912111849
USDT,0.65,extreme,2.3446277679601817,0.07566086158616138,10.756627358946913
USDT,0.7,normal,2.7,0.04131475326390263,2.75466022848125
USDT,0.7,stress,2.7,0.060212154278323646,7.316505024704559
USDT,0.7,extreme,2.2593286061281983,0.07566048504850427,11.162679751156002
USDT,0.75,normal,2.7,0.04131436997524135,2.8513442270475764
USDT,0.75,stress,2.7,0.07743490239021251,7.519703604508699
USDT,0.75,extreme,2.1827079389740836,0.075660108510853,11.554471269361972
USDT,0.8,normal,2.7,0.04131398668658007,2.9448556548426463
USDT,0.8,stress,2.7,0.076615498485195,8.03605919456636
USDT,0.8,extreme,2.1133873565733636,0.07565973197320101,11.933406613459217
USDT,0.85,normal,2.7,0.0413136033979188,3.0354877292784233
